Date,Open,High,Low,Close,Volume,OpenInt
1970-01-02,0.5204,0.5204,0.5204,0.5204,1199033,0
1970-01-05,0.5294,0.5385,0.5204,0.5204,1556639,0
1970-01-06,0.5111,0.5111,0.502,0.5111,3786417,0
1970-01-07,0.5111,0.5204,0.5111,0.5204,6205517,0
1970-01-08,0.5204,0.5385,0.5204,0.5294,2503243,0
1970-01-09,0.5385,0.5476,0.5385,0.5476,2019423,0
1970-01-12,0.5476,0.5569,0.5476,0.5569,1430424,0
1970-01-13,0.566,0.5932,0.566,0.5842,2966027,0
1970-01-14,0.5842,0.6207,0.5842,0.6116,8309083,0
1970-01-15,0.6025,0.6025,0.5842,0.5932,5658590,0
1970-01-16,0.5932,0.5932,0.5569,0.5842,5195805,0
1970-01-19,0.575,0.575,0.5569,0.575,4817165,0
1970-01-20,0.575,0.5932,0.575,0.5842,4080917,0
1970-01-21,0.5842,0.5932,0.5842,0.5842,3723311,0
1970-01-22,0.5842,0.5842,0.575,0.575,1788030,0
1970-01-23,0.575,0.575,0.575,0.575,2818778,0
1970-01-26,0.575,0.6116,0.575,0.6025,6079305,0
1970-01-27,0.6025,0.6116,0.5932,0.5932,8161833,0
1970-01-28,0.5932,0.6116,0.5932,0.5932,4585773,0
1970-01-29,0.5932,0.5932,0.575,0.575,4754057,0
1970-01-30,0.575,0.575,0.5569,0.566,4270238,0
1970-02-02,0.575,0.5842,0.575,0.575,5364092,0
1970-02-03,0.575,0.5842,0.566,0.575,5995161,0
1970-02-04,0.575,0.5842,0.575,0.5842,5048555,0
1970-02-05,0.575,0.575,0.566,0.575,5132699,0
1970-02-06,0.575,0.5932,0.575,0.5932,3302597,0
1970-02-09,0.6025,0.6116,0.6025,0.6025,3660205,0
1970-02-10,0.6025,0.6025,0.5932,0.5932,3639168,0
1970-02-11,0.6025,0.6207,0.6025,0.6207,3029133,0
1970-02-12,0.6207,0.6207,0.6025,0.6025,2355993,0
1970-02-13,0.6025,0.6116,0.6025,0.6116,2419100,0
1970-02-16,0.6116,0.6116,0.6025,0.6116,546928,0
1970-02-17,0.6116,0.6116,0.6116,0.6116,441749,0
1970-02-18,0.6207,0.6298,0.6207,0.6298,1745960,0
1970-02-19,0.6298,0.6298,0.6207,0.6207,1535603,0
1970-02-20,0.6116,0.6116,0.6116,0.6116,4459560,0
1970-02-24,0.6116,0.6207,0.6025,0.6025,1388353,0
1970-02-25,0.6025,0.6116,0.5932,0.6116,1451461,0
1970-02-26,0.6025,0.6025,0.5932,0.6025,2208742,0
1970-02-27,0.6025,0.6025,0.5932,0.5932,2398065,0
1970-03-02,0.5842,0.5842,0.575,0.575,6626230,0
1970-03-03,0.575,0.575,0.566,0.566,5742733,0
1970-03-04,0.566,0.566,0.5385,0.5476,12684497,0
1970-03-05,0.5476,0.5569,0.5476,0.5569,4017811,0
1970-03-06,0.5569,0.5569,0.5476,0.5476,2334957,0
1970-03-09,0.5476,0.5569,0.5204,0.5294,8813938,0
1970-03-10,0.5294,0.5294,0.5204,0.5204,2944993,0
1970-03-11,0.5204,0.5385,0.5204,0.5385,4080917,0
1970-03-12,0.5385,0.5476,0.5385,0.5476,3134313,0
