Date,Open,High,Low,Close,Volume,OpenInt
2004-08-19,50,52.03,47.98,50.17,44703800,0
2004-08-20,50.505,54.54,50.25,54.155,22857200,0
2004-08-23,55.375,56.74,54.525,54.7,18274400,0
2004-08-24,55.62,55.8,51.785,52.435,15262600,0
2004-08-25,52.48,54,51.94,53,9197800,0
2004-08-26,52.475,53.975,52.33,53.955,7102000,0
2004-08-27,54.05,54.31,52.845,53.075,6218000,0
2004-08-30,52.64,52.745,51.005,51.005,5202000,0
2004-08-31,51.15,51.855,51.08,51.185,4922800,0
2004-09-01,51.35,51.485,49.835,50.125,9147400,0
2004-09-02,49.595,51.185,49.47,50.755,15133800,0
2004-09-03,50.475,50.87,49.66,50.005,5157600,0
2004-09-07,50.505,51,49.805,50.79,5853400,0
2004-09-08,50.37,51.515,50.25,51.15,4990600,0
2004-09-09,51.265,51.355,50.5,51.155,4065800,0
2004-09-10,50.8,53.28,50.65,52.665,8707600,0
2004-09-13,53.315,54.205,53.23,53.75,7852000,0
2004-09-14,53.725,56,53.395,55.745,10839800,0
2004-09-15,55.28,57.115,55.1,56,10723800,0
2004-09-16,56.17,57.9,55.825,56.985,9275600,0
2004-09-17,57.21,58.745,56.775,58.745,9482000,0
2004-09-20,58.475,60.8,58.385,59.68,10639400,0
2004-09-21,59.905,60.21,58.755,58.92,7236000,0
2004-09-22,58.7,59.835,58.405,59.19,7588800,0
2004-09-23,59.42,61.315,58.51,60.41,8544200,0
2004-09-24,60.47,62.05,59.88,59.915,9132600,0
2004-09-27,59.78,60.44,58.9,59.13,7073200,0
2004-09-28,60.65,63.7,60.105,63.43,16946000,0
2004-09-29,63.35,67.51,63.115,65.54,30547000,0
2004-09-30,64.95,66.15,64.5,64.8,13771800,0
2004-10-01,65.4,67.12,64.45,66.29,15140000,0
2004-10-04,67.625,68.435,67.015,67.53,13035800,0
2004-10-05,67.33,69.265,66.12,69.185,14988200,0
2004-10-06,68.775,69.225,68,68.54,13394800,0
2004-10-07,68.46,69.94,68.275,69.425,14129200,0
2004-10-08,69.36,69.84,68.51,68.865,11080600,0
2004-10-11,68.5,69.43,66.925,67.63,10482600,0
2004-10-12,67.22,68.805,66.7,68.7,11677200,0
2004-10-13,71.66,71.775,70.04,70.45,19786000,0
2004-10-14,70.505,71.19,69.28,71,10452600,0
2004-10-15,72.465,72.75,70.975,72.055,13208000,0
2004-10-18,71.6,74.6,70.605,74.58,14050400,0
2004-10-19,75.25,76.2,73.675,73.97,18128000,0
2004-10-20,74.015,74.495,69.8,70.245,22745400,0
2004-10-21,72.2,75.065,70.81,74.69,29179000,0
2004-10-22,85.27,90.085,82.04,86.215,73783800,0
2004-10-25,88.2,97.215,86.275,93.7,65528400,0
2004-10-26,93.17,96.32,90,90.9,44614200,0
2004-10-27,91.36,94.76,90.885,92.985,26713000,0
2004-10-28,93.34,97.195,92.8,96.65,29693600,0
2004-10-29,99.445,99.98,95.3,95.32,42325000,0
2004-11-01,96.775,98.835,95.635,98.015,24449800,0
2004-11-02,99.39,99.62,96.67,97.435,22692600,0
2004-11-03,99.09,100.8,95.375,95.835,27777400,0
2004-11-04,94.22,95.2,91.675,92.35,28819200,0
2004-11-05,90.99,91.15,84.275,84.675,39666200,0
2004-11-08,85.465,87.72,84.7,86.275,22383600,0
2004-11-09,87.05,87.6,82.635,84.35,22128400,0
2004-11-10,85.335,86.26,83.165,83.93,21288000,0
2004-11-11,84.565,91.875,83.785,91.51,29971000,0
2004-11-12,92.615,94.9,88.7,91,33492200,0
2004-11-15,90.225,94.16,89.375,92.435,23803000,0
2004-11-16,88.75,89.735,85.415,86.27,41834800,0
2004-11-17,84.51,88.75,84.5,86.25,36265800,0
2004-11-18,85.145,87.21,82.865,83.77,33259200,0
2004-11-19,84.55,84.99,83.26,84.7,17538600,0
2004-11-22,82.235,84.75,80.655,82.55,24736400,0
2004-11-23,83.985,85.415,83.25,83.76,24826600,0
2004-11-24,87.41,88.605,86.255,87.38,30562000,0
2004-11-26,87.9,90.015,87.66,89.695,12960200,0
2004-11-29,90.18,91.475,88.755,90.525,21333200,0
2004-11-30,90.355,91.5,90.125,90.99,15400000,0
2004-12-01,90.975,91.25,89.775,89.98,15728200,0
2004-12-02,89.95,90.755,89.275,89.7,12521800,0
2004-12-03,89.975,90.53,88.8,90.2,11738400,0
2004-12-06,89.565,90.35,88.01,88.145,12508000,0
2004-12-07,88,88.1,85.275,85.715,13741800,0
2004-12-08,85.175,86.84,84.365,84.99,15083600,0
2004-12-09,85.125,86.75,84.235,86.715,15308000,0
2004-12-10,86.715,87.44,85.645,85.825,8634400,0
2004-12-13,86.085,86.59,84.725,85.225,9637200,0
2004-12-14,85.5,89.41,84.8,89.345,22176800,0
2004-12-15,88.995,90.345,88.33,89.89,22942000,0
2004-12-16,88.475,90.245,87.975,88.235,17145600,0
2004-12-17,88.38,90.25,88.275,90.04,14772400,0
2004-12-20,91,94.23,90.935,92.51,19669000,0
2004-12-21,93.155,93.94,91.7,91.875,11032600,0
2004-12-22,91.95,93.425,91.505,93.15,7814000,0
2004-12-23,93.725,94.3,93,93.95,7229200,0
2004-12-27,94.575,96.65,94.55,95.955,12208200,0
2004-12-28,96.055,96.775,95.505,96.38,8291600,0
2004-12-29,95.89,96.76,95.89,96.45,5356200,0
2004-12-30,96.485,99.115,95.925,98.8,11808600,0
2004-12-31,99.62,99.94,96.28,96.395,15337000,0
2005-01-03,98.7,101.82,97.73,101.36,31688400,0
2005-01-04,100.7,101.46,96.74,97.25,27511800,0
2005-01-05,96.725,98.45,96.115,96.755,16473200,0
2005-01-06,97.54,97.95,93.86,94.275,20774200,0
2005-01-07,95.32,97.125,94.39,96.925,19325800,0
2005-01-10,97.25,99.05,95.915,97.53,15079200,0
2005-01-11,97.81,98.855,96.59,96.77,13917400,0
2005-01-12,97.165,97.965,95.25,97.69,16355600,0
2005-01-13,97.69,98.695,97.025,97.665,13698800,0
2005-01-14,98,100,97.065,99.98,19280600,0
2005-01-18,100.48,102.51,99.33,101.95,26345200,0
2005-01-19,102.32,102.65,98.355,98.65,22515400,0
2005-01-20,96.25,98.125,96,96.96,18003200,0
2005-01-21,97.27,97.68,94.06,94.14,18516800,0
2005-01-24,94.345,94.665,90.16,90.36,28045400,0
2005-01-25,90.97,91.12,88.145,88.56,21318400,0
2005-01-26,89.635,94.705,89.575,94.62,24615800,0
2005-01-27,94.38,94.43,92.6,94.04,13254800,0
2005-01-28,95.01,97.35,93.17,95.17,24416400,0
2005-01-31,96.845,98.18,95.86,97.81,19193400,0
2005-02-01,97.19,98.33,95.315,95.95,37678000,0
2005-02-02,107.78,108.4,101.83,102.98,65598600,0
2005-02-03,103,106.68,102.9,105.43,25976200,0
2005-02-04,103.24,103.88,101.3,102.18,29638600,0
2005-02-07,102.63,103.2,97.755,98.015,25920800,0
