Date,Open,High,Low,Close,Volume,OpenInt
1962-01-02,6.413,6.413,6.3378,6.3378,467056,0
1962-01-03,6.3378,6.3963,6.3378,6.3963,350294,0
1962-01-04,6.3963,6.3963,6.3295,6.3295,314365,0
1962-01-05,6.3211,6.3211,6.1958,6.2041,440112,0
1962-01-08,6.2041,6.2041,6.0373,6.087,655676,0
1962-01-09,6.1208,6.2376,6.1208,6.1621,592806,0
1962-01-10,6.1707,6.2041,6.1707,6.1707,359274,0
1962-01-11,6.1875,6.2376,6.1875,6.2376,386220,0
1962-01-12,6.2543,6.2962,6.2543,6.2543,529933,0
1962-01-15,6.2708,6.2962,6.2708,6.2792,305383,0
1962-01-16,6.2708,6.2708,6.2128,6.2128,305383,0
1962-01-17,6.1875,6.1875,6.0956,6.1125,502984,0
1962-01-18,6.1291,6.1875,6.1291,6.1291,449093,0
1962-01-19,6.1291,6.1457,6.0624,6.1374,485021,0
1962-01-22,6.1374,6.1958,6.1208,6.1208,332329,0
1962-01-23,6.1208,6.1291,6.0538,6.0624,449093,0
1962-01-24,6.0624,6.0956,6.0287,6.0956,494001,0
1962-01-25,6.0956,6.1457,6.0208,6.0287,386220,0
1962-01-26,6.0287,6.0538,5.9951,5.9951,296401,0
1962-01-29,5.9951,6.0373,5.8952,5.8952,700585,0
1962-01-30,5.8952,5.9285,5.8201,5.8201,889207,0
1962-01-31,5.8784,6.0036,5.8784,6.0036,916151,0
1962-02-01,6.0703,6.1621,6.0703,6.1457,772443,0
1962-02-02,6.1457,6.1875,6.1208,6.1875,610767,0
1962-02-05,6.1875,6.1875,6.0703,6.104,377238,0
1962-02-06,6.104,6.1208,6.087,6.1125,314365,0
1962-02-07,6.1208,6.1542,6.1208,6.1208,305383,0
1962-02-08,6.1208,6.1542,6.1208,6.1208,26945,0
1962-02-09,6.1208,6.1707,6.0956,6.1707,520952,0
1962-02-12,6.1707,6.2209,6.1621,6.1707,341313,0
1962-02-13,6.1707,6.1793,6.0703,6.0703,314365,0
1962-02-14,6.0703,6.0956,6.0538,6.0624,251493,0
1962-02-15,6.0624,6.0624,6.0373,6.0373,278438,0
1962-02-16,6.0373,6.0624,6.0373,6.0373,269454,0
1962-02-19,6.0373,6.0624,5.9622,5.9703,341313,0
1962-02-20,5.9787,6.0036,5.9787,5.9787,350294,0
1962-02-21,5.9787,6.0208,5.9285,5.9285,440112,0
1962-02-23,5.937,5.9622,5.937,5.9537,350294,0
1962-02-26,5.9537,5.9537,5.9201,5.9285,359274,0
1962-02-27,5.9285,5.9787,5.8952,5.937,422149,0
1962-02-28,5.937,5.9537,5.9119,5.9537,323350,0
1962-03-01,5.9703,6.0208,5.9703,6.0208,341313,0
1962-03-02,6.0703,6.104,6.0703,6.0703,296401,0
1962-03-05,6.0703,6.0703,6.0287,6.0538,431133,0
1962-03-06,6.0538,6.079,6.0373,6.0538,224544,0
1962-03-07,6.0538,6.079,6.0373,6.079,152692,0
1962-03-08,6.079,6.087,6.0373,6.087,224544,0
1962-03-09,6.0956,6.1291,6.0956,6.1291,350294,0
1962-03-12,6.1291,6.1457,6.104,6.1208,341313,0
1962-03-13,6.1208,6.1208,6.0956,6.1208,152692,0
1962-03-14,6.1208,6.1374,6.0956,6.104,242514,0
1962-03-15,6.104,6.1374,6.0956,6.0956,296401,0
1962-03-16,6.0956,6.1208,6.0956,6.1208,197602,0
1962-03-19,6.1374,6.1621,6.1374,6.1374,449093,0
1962-03-20,6.1291,6.1291,6.104,6.104,197602,0
1962-03-21,6.104,6.1208,6.087,6.104,314365,0
1962-03-22,6.087,6.087,6.0373,6.0373,287417,0
1962-03-23,6.0454,6.0703,6.0454,6.0624,224544,0
1962-03-26,6.0624,6.087,6.0538,6.0624,161673,0
1962-03-27,6.0454,6.0454,5.937,5.9454,422149,0
1962-03-28,5.9537,5.9951,5.9537,5.9787,395202,0
1962-03-29,5.9787,6.0036,5.9622,5.9622,278438,0
1962-03-30,5.9537,5.9537,5.8784,5.9037,529933,0
1962-04-02,5.9037,5.9037,5.8282,5.8282,449093,0
1962-04-03,5.8201,5.8201,5.6195,5.6781,1095790,0
1962-04-04,5.6781,5.7283,5.6528,5.6528,781425,0
1962-04-05,5.6867,5.7782,5.6867,5.7782,1095790,0
1962-04-06,5.7782,5.8201,5.7283,5.7698,520952,0
1962-04-09,5.7698,5.8036,5.7283,5.7782,26945,0
1962-04-10,5.7782,5.7949,5.7453,5.7949,314365,0
1962-04-11,5.7949,5.8453,5.7197,5.7197,637714,0
1962-04-12,5.7197,5.7283,5.6614,5.6614,485021,0
1962-04-13,5.6614,5.7453,5.6528,5.7453,754479,0
1962-04-16,5.7453,5.7782,5.6781,5.7367,610767,0
1962-04-17,5.7367,5.7616,5.7116,5.7616,359274,0
1962-04-18,5.7616,5.8115,5.7453,5.7533,511969,0
1962-04-19,5.7533,5.7782,5.7283,5.7533,467056,0
1962-04-23,5.7533,5.7616,5.7283,5.7453,377238,0
1962-04-24,5.7453,5.7866,5.7367,5.7453,547896,0
1962-04-25,5.7453,5.7616,5.6781,5.6781,556875,0
