Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,1.5271,1.5829,1.5214,1.57,29469293,0
2005-02-28,1.5829,1.5857,1.5,1.5286,6607657,0
2005-03-01,1.5286,1.5643,1.5157,1.5414,4451881,0
2005-03-02,1.5429,1.5786,1.5143,1.5257,14459396,0
2005-03-03,1.5271,1.5557,1.5,1.5086,7353878,0
2005-03-04,1.5143,1.5443,1.5,1.5286,5499270,0
2005-03-07,1.5271,1.5457,1.5,1.5129,4238311,0
2005-03-08,1.5114,1.5171,1.4371,1.4457,7677705,0
2005-03-09,1.4429,1.4629,1.3886,1.43,9721285,0
2005-03-10,1.4243,1.4429,1.4086,1.4129,5153211,0
2005-03-11,1.4271,1.4286,1.3386,1.3471,9549834,0
2005-03-14,1.3457,1.3929,1.3429,1.3571,6190177,0
2005-03-15,1.3529,1.3743,1.3029,1.3143,10537492,0
2005-03-16,1.3014,1.3314,1.3,1.31,7260918,0
2005-03-17,1.3171,1.32,1.3071,1.3143,4554529,0
2005-03-18,1.3214,1.3214,1.3071,1.3143,7039921,0
2005-03-21,1.3214,1.3571,1.3086,1.33,6193929,0
2005-03-22,1.3357,1.3414,1.3071,1.3071,4311167,0
2005-03-23,1.3,1.3214,1.2929,1.3129,5862227,0
2005-03-24,1.3014,1.3171,1.2729,1.29,6782384,0
2005-03-28,1.3786,1.4186,1.3571,1.3971,12529846,0
2005-03-29,1.4043,1.4814,1.3929,1.4429,10164595,0
2005-03-30,1.4471,1.4729,1.4143,1.4643,5664645,0
2005-03-31,1.4657,1.55,1.4643,1.55,13681556,0
2005-04-01,1.5571,1.5714,1.5357,1.5471,10200547,0
2005-04-04,1.5657,1.5714,1.5157,1.5657,6235873,0
2005-04-05,1.5029,1.56,1.5014,1.5457,4613182,0
2005-04-06,1.5614,1.6,1.5429,1.5857,9058455,0
2005-04-07,1.5771,1.6243,1.5614,1.6057,7478807,0
2005-04-08,1.6257,1.7386,1.6257,1.7157,24304679,0
2005-04-11,1.72,1.72,1.6429,1.6986,7512281,0
